Year,Country1,Country2,Whole_count,Fractional_count
1987,CAN,USA,1,0.333333333
1987,CAN,USA,1,0.333333333
1987,GBR,HKG,1,1
1987,CAN,GBR,1,0.333333333
1987,GBR,GBR,1,0.333333333
1987,CAN,GBR,1,0.333333333
1988,AUS,CHN,1,1
1988,AUS,GBR,1,0.1
1988,GBR,NLD,1,0.1
1988,AUS,NLD,1,0.1
1988,GBR,JPN,1,0.166666667
1988,CAN,USA,1,1
1988,CAN,USA,1,0.1
1988,CAN,USA,1,0.1
1988,CAN,USA,1,0.1
1988,CAN,USA,1,0.1
1988,CAN,USA,1,0.1
1988,CAN,USA,1,0.1
1988,CAN,CAN,1,0.1
1988,AUS,CAN,1,1
1988,ESP,GBR,1,0.333333333
1988,ESP,GBR,1,0.333333333
1988,AUS,DEU,1,1
1988,CAN,USA,1,1
1988,CAN,IRL,1,0.166666667
1988,CAN,IRL,1,0.166666667
1988,CAN,IRL,1,0.166666667
1988,GBR,HKG,1,1
1988,CHN,GBR,1,1
1988,CAN,IND,1,0.166666667
1988,CAN,IND,1,0.166666667
1988,CAN,CAN,1,0.166666667
1988,CAN,IND,1,0.166666667
1988,CAN,IND,1,0.166666667
1988,GBR,HKG,1,1
1988,FRA,GBR,1,0.035714286
1988,CAN,USA,1,1
1988,CAN,USA,1,0.333333333
1988,CAN,USA,1,0.333333333
1988,CAN,DEU,1,0.333333333
1988,CAN,DEU,1,0.333333333
1988,CAN,CAN,1,0.333333333
1989,CAN,JEY,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,GBR,USA,1,0.166666667
1989,CAN,CAN,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,GBR,USA,1,0.333333333
1989,GBR,USA,1,0.333333333
1989,CAN,NZL,1,1
1989,CAN,GBR,1,1
1989,GBR,GBR,1,0.333333333
1989,GBR,NLD,1,0.333333333
1989,GBR,NLD,1,0.333333333
1989,GBR,GBR,1,0.333333333
1989,GBR,GRC,1,0.333333333
1989,GBR,GRC,1,0.333333333
1989,AUS,CAN,1,0.333333333
1989,AUS,AUS,1,0.333333333
1989,AUS,CAN,1,0.333333333
1989,AUS,GBR,1,0.166666667
1989,GBR,GBR,1,0.166666667
1989,GBR,USA,1,0.166666667
1989,AUS,GBR,1,0.166666667
1989,AUS,USA,1,0.166666667
1989,GBR,USA,1,0.166666667
1989,CAN,DEU,1,1
1989,CAN,CAN,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,GBR,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,GBR,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,GBR,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,GBR,USA,1,0.047619048
1989,CAN,MAR,1,1
1989,CAN,USA,1,0.333333333
1989,CAN,USA,1,0.333333333
1989,GBR,GBR,1,0.333333333
1989,GBR,GRC,1,0.333333333
1989,GBR,GRC,1,0.333333333
1989,AUS,ZAF,1,0.333333333
1989,AUS,SGP,1,0.333333333
1989,GBR,GRC,1,1
1989,CAN,JPN,1,0.333333333
1989,CAN,JPN,1,0.333333333
1989,AUS,CAN,1,1
1989,GBR,JPN,1,0.166666667
1989,GBR,GBR,1,0.166666667
1989,GBR,GBR,1,0.166666667
1989,GBR,JPN,1,0.166666667
1989,GBR,JPN,1,0.166666667
1989,GBR,GBR,1,0.166666667
1989,GBR,USA,1,0.333333333
1989,GBR,ZAF,1,0.333333333
1989,GBR,IDN,1,1
1989,GBR,USA,1,1
1989,CAN,HKG,1,1
1989,CAN,NZL,1,1
1990,DEU,GBR,1,1
1990,CAN,ISR,1,1
1990,AUS,AUS,1,0.333333333
1990,AUS,CHL,1,0.333333333
1990,AUS,CHL,1,0.333333333
1990,GBR,USA,1,0.333333333
1990,GBR,USA,1,0.333333333
1990,CAN,CAN,1,0.333333333
1990,CAN,USA,1,0.333333333
1990,CAN,USA,1,0.333333333
1990,CAN,USA,1,1
1990,CAN,USA,1,0.333333333
1990,CAN,USA,1,0.333333333
1990,BEL,GBR,1,1
1990,GBR,HKG,1,0.166666667
1990,GBR,HKG,1,0.166666667
1990,GBR,HKG,1,0.166666667
1990,GBR,GBR,1,0.166666667
1990,GBR,GBR,1,0.166666667
1990,GBR,GBR,1,0.166666667
1990,CHE,GBR,1,0.333333333
1990,CHE,GBR,1,0.333333333
1990,GBR,USA,1,1
1990,CAN,IND,1,0.333333333
1990,CAN,IND,1,0.333333333
1990,CAN,CHL,1,0.333333333
1990,CAN,FRA,1,0.333333333
1990,CAN,TUR,1,0.333333333
1990,CAN,USA,1,0.333333333
1990,CAN,IND,1,0.333333333
1990,CAN,IND,1,0.333333333
1990,CAN,CAN,1,0.333333333
1990,CAN,CHN,1,0.333333333
1990,CAN,CHN,1,0.333333333
1990,GBR,NGA,1,1
1990,GBR,POL,1,1
1990,GBR,POL,1,1
1990,GBR,POL,1,1
1990,CAN,HUN,1,1
1990,GBR,POL,1,0.333333333
1990,GBR,POL,1,0.333333333
1990,GBR,GBR,1,0.333333333
1990,GBR,GBR,1,0.333333333
1990,GBR,NLD,1,0.333333333
1990,GBR,NLD,1,0.333333333
1991,GBR,NLD,1,0.1
1991,GBR,NLD,1,0.1
1991,GBR,NLD,1,0.1
1991,GBR,NLD,1,0.1
1991,CAN,CAN,1,0.333333333
1991,CAN,USA,1,0.333333333
1991,CAN,USA,1,0.333333333
1991,GBR,USA,1,0.333333333
1991,GBR,USA,1,0.333333333
1991,CAN,CHL,1,1
1991,CAN,USA,1,1
1991,GBR,USA,1,0.333333333
1991,GBR,USA,1,0.333333333
1991,GBR,TWN,1,0.333333333
1991,GBR,TWN,1,0.333333333
1991,CAN,USA,1,1
1991,GBR,NLD,1,1
1991,GBR,PRT,1,0.166666667
1991,GBR,GBR,1,0.166666667
1991,GBR,GBR,1,0.166666667
1991,GBR,PRT,1,0.166666667
1991,GBR,PRT,1,0.166666667
1991,GBR,GBR,1,0.166666667
1991,CAN,USA,1,0.333333333
1991,CAN,USA,1,0.333333333
1991,DNK,GBR,1,0.333333333
1991,DNK,GBR,1,0.333333333
1991,CAN,USA,1,0.027777778
1991,CAN,USA,1,0.027777778
1991,CAN,USA,1,0.027777778
1991,CAN,CAN,1,0.027777778
1991,CAN,USA,1,0.027777778
1991,CAN,CAN,1,0.027777778
1991,CAN,USA,1,0.027777778
1991,CAN,USA,1,0.027777778
1991,CAN,CAN,1,0.027777778
1991,CAN,USA,1,0.027777778
